Sr-O,1^2 A’,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
1.85,17282.0922617,22627.9837400919,28214.2715331158,28950.7625537017,23340.0691816678,28497.5254923954
1.9,12639.8888307,18148.0939009083,23769.7390570475,24151.1640189627,18949.2421479085,23914.0216797349
1.95,8816.06433624,14439.2008838667,20027.6834232053,20407.2867456758,15374.3822882651,20171.3515169176
2,5685.51181968,11401.6610115594,16900.7295860656,17463.3747511231,12487.0728011461,17130.3219979723
2.05,3139.98564301,8929.81041744785,14363.1024449236,15110.2379851305,10171.4881445898,14676.2269015412
2.1,1086.27852049,6932.46836590641,12333.4976225668,13235.4066728429,8331.39966645491,12712.5303109982
2.15,-555.27701795,5332.53780843786,10730.8016847446,11756.8016916078,6886.30846143487,11157.7676326663
2.2,-1852.57266509,4064.97743801138,9483.65245503665,10607.494252583,5768.6492642504,9942.99091108924
2.25,-2863.26506707,3074.97127068791,8530.78139534962,9731.6148935926,4921.54302943747,9009.80672584273
2.3,-3636.17480867,2316.46474982772,7819.83502710351,9082.40673916188,4297.24524567013,8308.8464533313
2.35,-4212.59511021,1750.78644535972,7306.4136323759,8620.82525236857,3855.54816048635,7798.40991358819
2.4,-4627.24001975,1345.72845514492,6952.91023307904,8314.28942419125,3562.75144422992,7443.26045455374
2.45,-4909.62777279,1074.05178266743,6727.4768654368,8135.34078347694,3390.36509499787,7213.63512145112
2.5,-5084.13614819,913.319536357001,6604.16504377916,8060.77427745368,3315.22795493566,7085.2095408798
2.55,-5171.33644091,843.699988526231,6562.15540457991,8068.32201002669,3319.04461877181,7038.48119711113
2.6,-5188.42762814,847.595663242459,6586.19885045395,8134.81184961361,3389.19968470384,7059.32031336359
2.65,-5150.14625119,909.491898786815,6664.40205111632,8238.07905317846,3516.52130787052,7136.97482744884
2.7,-5068.36076907,1017.67313934828,6786.36629852859,8363.81826425126,3692.12515519377,7261.88003491569
2.75,-4953.11081615,1163.3494259465,6942.00673338718,8505.3025853891,3906.05805215972,7424.32418335545
2.8,-4812.59704128,1339.61169716229,7122.50486499949,8659.59544600855,4149.06255878915,7615.35709726708
2.85,-4653.77451288,1540.68777021436,7320.55218813092,8824.41430994758,4413.2595358272,7827.29716457098
2.9,-4482.22236534,1761.74920319917,7530.44236237948,8997.67416821938,4692.35006135861,8053.86741080749
2.95,-4302.54958016,1998.7291312019,7747.60373117066,9177.08590040526,4981.23573968738,8289.83775550333
3,-4118.47760911,2248.34421373336,7968.62126922556,9360.3538018611,5276.01870135547,8531.02501219035
3.05,-3933.04269605,2507.7961492378,8190.67472753905,9545.27215254439,5573.35195824247,8773.81882316868
3.1,-3748.57210117,2774.92091786705,8411.77566596389,9729.91835469342,5870.78617347138,9015.33090231834
3.15,-3566.9567095,3047.90346440182,8630.32850391165,9912.54319548063,6166.22097479407,9253.02192812326
3.2,-3389.62573625,3325.30403526574,8845.0910149812,10091.8166586451,6457.99713402206,9484.77177565895
3.25,-3217.69536149,3605.88259879953,9055.1084845109,10266.5206599894,6744.76488215569,9708.7258842848
3.3,-3051.7688301,3888.80954087463,9259.92440527958,10436.1328498755,7025.69460508511,9923.59374316742
3.35,-2892.55833435,4172.95456717215,9458.82548473074,10599.8740933804,7299.80964072427,10128.1353206538
3.4,-2740.84309551,4457.03375106543,9651.14232524405,10757.0969403328,7566.15527440529,10321.2203223688
3.45,-2595.32921176,4741.35655180569,9837.9086523238,10908.8570637053,7825.54575702033,10503.8166314563
3.5,-2457.36665542,5026.55505632128,10049.2319959108,11086.1837868857,8042.8827055062,10688.1665428424
3.55,-2326.50157914,5305.51609181726,10226.1373278077,11223.2544731843,8287.93491044916,10851.7936595357
3.6,-2202.56132269,5581.35619805536,10395.4225005019,11354.3949549414,8525.49864097293,11004.9693942871
3.65,-2085.426808,5853.39939316487,10557.7503273758,11479.6974114943,8754.94181013045,11148.1809807657
3.7,-1974.77247478,6121.15405398066,10713.5070837877,11599.4164334303,8976.23369147391,11282.2097486678
3.75,-1870.35344878,6384.14172580724,10862.9385813265,11713.7100424845,9189.33477958196,11407.8282486974
3.8,-1771.87840595,6641.88614867846,11006.139194071,11822.6726127298,9394.25165868008,11525.657594055
3.85,-1679.04622382,6894.06469490469,11143.3130334409,11926.4863081299,9591.10065032784,11636.3627928837
3.9,-1591.55267729,7140.41399491893,11274.613731675,12025.3267083796,9780.05733423242,11740.5364266779
3.95,-1509.08098538,7380.72554782439,11400.1400523611,12119.2486821429,9961.24242143704,11838.6942608252
4,-1431.37050039,7614.85669510975,11520.0127065362,12208.4607303102,10134.8424653829,11931.2423233913
4.05,-1358.11457544,7842.69330996973,11634.3809369619,12293.0462532577,10301.0725512048,12018.6151741544
4.1,-1289.0388398,8064.14540779645,11743.3303387313,12373.1566884579,10460.1499587916,12101.1398303064
4.15,-1223.88591065,8279.1515357005,11846.9311437386,12448.8842152791,10612.2546573343,12179.1059983597
4.2,-1162.39887497,8487.73364114372,11945.4028266082,12520.3824659479,10757.6280689317,12252.8209428113
4.25,-1104.35344818,8689.90708735003,12038.8265929559,12587.798488478,10896.461136515,12322.5853438889
4.3,-1049.39889254,8885.8101433346,12127.4943440422,12651.3802891938,11029.0896562745,12388.7349977955
4.35,-997.7433191,9075.02580731007,12211.1427103063,12710.8425510788,11155.316101035,12451.050429894
4.4,-948.82431144,9258.05887091115,12290.3423257935,12766.7339607102,11275.6891573736,12510.1900640707
4.45,-902.51038449,9434.90933413785,12365.2029278129,12819.0984130117,11390.3844049851,12566.2416901792
4.5,-858.61295527,9605.66937636481,12435.9483805101,12868.1817195846,11499.6476554894,12619.4511198207
4.55,-817.11072456,9770.34119230267,12502.6686684494,12913.9641276963,11603.5249985332,12669.8863901163
4.6,-777.80169513,9929.06524572714,12565.5700978108,12956.6738909637,11702.2446877334,12717.7099122974
4.65,-740.49961024,10081.9907793937,12624.9335961082,12996.4821996041,11796.065703161,12763.1587189605
4.7,-705.19406307,10229.1726619538,12680.8579269355,13033.4878172051,11885.1087558653,12806.3096262439
4.75,-671.71322287,10370.7403834491,12733.5384227137,13067.8641287258,11969.5472308055,12847.2701767025
4.8,-639.95139745,10506.8673288325,12783.1704158637,13099.7845191191,12049.5984078705,12886.2357027696
