Sr-O,1^2 A’,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
1.85,3884.00790084,9077.96018312672,13776.3414073624,15758.3948560725,11066.1150265893,14935.2113560779
1.9,164.0361663,5364.34187727159,10279.8054594184,12213.7500689248,7735.10684565087,11477.1054160935
1.95,-2796.68790452,2395.50634357967,7528.42539052001,9399.81973007936,5098.92901077167,8741.06662392995
2,-5120.22877716,59.9648587904176,5405.24755907244,7210.75561428594,3042.93236399943,6602.19635633947
2.05,-6911.46186215,-1747.02465018129,3803.18151344302,5546.40266826401,1478.59400750723,4961.56861796688
2.1,-8260.12588997,-3115.87695249501,2630.4736892128,4317.70686556278,327.833646411501,3737.56957237948
2.15,-9242.4114499,-4122.19886391622,1810.24431774865,3448.46880890973,-478.656613119279,2860.93522065071
2.2,-9923.13759267,-4829.54804294455,1277.57499785469,2873.79204456458,-1001.62515430739,2271.42197122419
2.25,-10357.08183891,-5291.1514771997,977.856051721911,2539.00105233281,-1293.11380176473,1917.09773679724
2.3,-10590.24000846,-5554.01404848071,862.392642890018,2397.0470554917,-1394.22356970063,1756.18113179989
2.35,-10661.58708434,-5648.30912911387,902.218509502368,2412.31371084877,-1351.56648034289,1742.34545103943
2.4,-10603.7819693,-5611.22889014139,1058.47347332358,2549.75969875908,-1188.24443339222,1850.90857745682
2.45,-10444.06171609,-5467.83952920756,1304.88422623971,2782.65081437892,-930.750211593425,2055.22409606816
2.5,-10205.21975289,-5239.39058013301,1619.82812754769,3088.55236087984,-600.552823397982,2333.51573393756
2.55,-9906.21015436,-4943.47512936053,1985.62430095741,3448.88361596153,-215.267302722992,2668.01482490257
2.6,-9562.79308659,-4594.54558136749,2387.95202676873,3848.18259186469,210.653945966642,3044.31285943444
2.65,-9187.97992308,-4204.51062966902,2815.31961327265,4273.68464400017,665.45586138867,3450.87425087553
2.7,-8792.51130069,-3783.24882741994,3258.35329895529,4714.80890039071,1139.41352263983,3878.32523773692
2.75,-8385.1450346,-3338.75344068664,3709.63045180169,5163.03535585463,1624.73119081651,4319.26513544054
2.8,-7972.95349541,-2877.53847652535,4163.22964625017,5611.47689646576,2115.04849109534,4767.61888619808
2.85,-7561.69047745,-2404.89327356939,4614.38828279517,6054.82223613518,2605.20776964519,5218.33857348139
2.9,-7155.90302372,-1925.06466592439,5059.40821390193,6489.06596283747,3090.98413979735,5667.19931063419
2.95,-6759.14581667,-1441.38866798918,5495.50211174874,6911.28906397988,3568.95379731809,6110.51392385579
3,-6374.13784289,-956.398017016952,5920.75176805127,7319.59527874618,4036.47426763256,6545.24488423955
3.05,-6002.95021748,-472.226006414286,6333.77010314906,7712.59752745718,4491.39030986612,6968.75410671923
3.1,-5646.82284073,9.63274156604017,6733.80870854793,8089.52545416935,4932.09756446304,7378.93244008564
3.15,-5306.98700724,487.714331144019,7120.28158697879,8449.74916668367,5357.32966279361,7773.96482914444
3.2,-4983.73834383,961.020152746808,7493.155817252,8793.23574381052,5766.32941739637,8152.7868219248
